,nodes
341193188,"[3172969080, 3479490539, 3479490540, 3491212051, 3479490541, 3479490542, 3479490543, 3479490544, 3491108281, 3479490545, 3479490546, 3479490547, 3491211907, 3491211895, 3479490762]"
341193189,"[3484050629, 3484050631, 3484050632, 3484050633, 3484050634, 3484050635, 3484050636, 3484050637, 3484050638, 3484050639, 3484050640, 3484050641, 3484050642, 3484050643, 3484050644, 3484050645, 3484050646]"
341193190,"[3484050613, 3484050647, 3484050650, 3484050651, 3484050652, 3484050655, 3491211629, 3491211609, 3491211604, 3491210492, 3484050669]"
341193191,"[3172968573, 3484050656, 3484050657, 3484050658, 3484050659, 3484050660, 3484050661, 3484050662, 3484050663, 3484050664, 3484050665, 3484050666, 3484050667, 3484050668, 3484050681, 3484050680, 3484050679, 3484050678, 3484050673]"
341193192,"[3484050669, 3484050670, 3484050671, 3484050672, 3484050673, 3484050674, 3484050675, 3484050676, 3484050677]"
341193194,"[3484050682, 3484050683, 3484050684, 3484050685, 3484050686]"
341195292,"[3484071883, 3484071884, 3484071885, 3484071886, 3484071887, 3484071888, 3484071889, 3484071890, 3484071891, 3484071892, 3484072293]"
341195293,"[3484072294, 3484072295, 3484072296, 3484072297, 3484072298, 3484072300, 3484072301, 3484072302, 3484072304, 3484072306, 3484072312]"
341195294,"[3484072312, 3488886984, 3488886987, 3484072314, 3484072317, 3484072319, 3484072322]"
341195296,"[3479473785, 3484072332, 3484072333, 3484072334, 3484072335, 3484072336, 3484072337, 3484072338]"
341195298,"[3484072345, 3484072346, 3484072347, 3484072348, 3484072349, 3484072350, 3484072351, 3484072352, 3484072353, 3484072354, 3484072355, 3484072356, 3484072357, 3484072358, 3484072359]"
341195299,"[3484072359, 3484072360, 3484072361, 3484072362, 3484072363, 3484072364, 3484072365, 3484072366, 3484072367, 3484072368, 3484072369, 3484072370, 3484072371, 3484072372]"
341195300,"[3484072373, 3484072374, 3484072375, 3494740905, 3484072376, 3494740904, 3484072377, 3484072378, 3484072379, 3484072380, 3484072381]"
341195301,"[3484072373, 3484072363]"
341195302,"[3484072363, 3484072382, 3484072383, 3484072384, 3484072385, 3484072386, 3484072387, 3484072388, 3484072389, 3484072390, 3484072391, 3484072392, 3484072393]"
341195303,"[3484072393, 3484072394, 3484072395, 3484072396, 3484072397, 3484089733, 3484072398, 3484072399]"
341196617,"[3484089733, 3484089734, 3484089735, 3484089736, 3484089737, 3484089738, 3484089739, 3484089740, 3484089741, 3484089742, 3484089743, 3484089744, 3484089745, 3484089746, 3484089747, 3484089748, 3484089749, 3484089750, 3484089751, 3484089752, 3484089753, 3484089754, 3484089755, 3484089756, 3484089757, 3484089758, 3484089759, 3484089760, 3484089761, 3484089762, 3484089763, 3484089764, 3484089765, 3484089766, 3484089767, 3484089768, 3484089769, 3484089770, 3484089771, 3484089772, 3484089773, 3484089774, 3484089775, 3484089776, 3484089777, 3484089778, 3484089779, 3484089780, 3484089781, 3484089782, 3484089783, 3484089784, 3484089785, 3484089786, 3484089787, 3484089788, 3484089789, 3484089790, 3484089791, 3484089792, 3484090793, 3484090794, 3484090795, 3484090796, 3484090797]"
341281103,"[3479474114, 3484821784, 3484821786, 3484821787, 3484821790, 3484823194, 3484823199]"
341281104,"[3488961440, 3488961439, 3488961438, 3488961437, 3484823200, 3484823201, 3484823202, 3484823203, 3484823204, 3484823209, 3484823205, 3484823206, 3484823207, 3484823208]"
341281105,"[3484823209, 3484823210, 3484823211, 3484823212, 3484823213, 3484823214, 3484823216, 3484823215]"
341281106,"[3484823216, 3484823217, 3484823218, 3484823219, 3484823220, 3484823221, 3484823222, 3484823223, 3484823224, 3484823225, 3484823272, 3484823226]"
341281107,"[3484823242, 3491211741, 3491211729, 3491211717, 3484823228, 3484823229, 3484823225]"
341281108,"[3479490535, 3488961445, 3488961444, 3488961443, 3488961441, 3484823231, 3484823232, 3484823233, 3484823234, 3484823235, 3484823236, 3484823237, 3484823238, 3484823239, 3484823240, 3484823241]"
341281109,"[3484823242, 3484823243, 3484823244, 3484823245, 3491211771, 3484823246, 3484823247, 3484823248, 3484823249, 3484823250, 3484823251, 3484823252, 3484823253, 3484823254, 3484823255]"
341281116,"[4504539932, 3484823280, 3484823282, 3484823281, 3484823259]"
341281117,"[3484823282, 3484823283, 3484823284, 3484823285, 3484823286, 3484823287, 3484823288, 3484823289, 3484823290, 3484823291, 3484823292, 3484823393, 3484823394, 3484823395, 3484823396, 3484823397]"
341281118,"[3484823396, 3484823398, 3484823399, 3484823400, 3484823401]"
341336547,"[3479537355, 3479515569, 3479525174, 3486696654, 3486696653, 3479525175, 3479525176, 3479525177, 3479525178, 3479525179, 3479525180, 3479525181, 3479525182, 3479525183, 3479525184, 3479525185, 3479525186, 3479525187, 3479525188, 3479525189, 3479525190, 3479525191, 3479525192, 3479526093, 3479526094, 3479526095, 3479526096, 3479526097, 3479526098, 3479526099, 3479526100, 3479526101, 3479526102, 3479526103, 3479526104, 3479526105, 3479526106, 3479526107, 3479526108, 3479526109, 3479526110, 3479526111, 3479526112, 3479526113, 3479526114, 3479526115, 3479526116, 3479526117, 3479526118, 3479526119, 3486696591, 3479526120, 3479526121, 3479526122, 3479526123, 3479526124, 3479526125, 3479526126, 3479526127, 3479526181, 3479526128, 3479526129, 3479526130, 3479526131, 3479526132, 3479526133, 3479526134, 3479526135, 3479526136, 3479526137, 3479526138, 3479526139, 3479526140, 3479526141, 3479526142, 3479526143, 3479526144, 3479526145, 3479526146, 3479526147, 3479526148, 3479526149, 3479526150, 3479526151, 3479526152, 3479526153, 3479526154, 3479526155, 3479526156, 3479526157, 3479526158, 3479526159, 3479526160, 3479526161, 3479526162, 3479526163, 3479526164, 3479526165, 3479526166, 3479526167, 3479526168, 3479526169, 3479526170, 3479526171, 3485742968, 3479526173, 3479526174]"
341336551,"[3485351904, 3479526522, 3479526523, 3479526524, 3479526525, 3479526526, 3479526527, 3484090797, 3479526528, 3479526529, 3479526530, 3479526531, 3479526532, 3479526533, 3479526534, 3479526535, 3479526536, 3479526537, 3479526538]"
341374437,"[3479514868, 3485709270, 3485709274, 3485709273, 3485709268, 3485709266, 3485709265, 3485709267, 3485709269, 3485709276, 3485709279, 3485709281, 3485709284, 3485709285, 3485709287, 3485709289]"
341374438,"[3479514850, 3485712799, 3485712801, 5519934494, 5519934493, 3485712809, 3491211602, 3485712813, 3485712818, 3485712819, 3491211647, 3485712826, 3485712827, 3485712829, 3485712834]"
341374439,"[3485709269, 3485709272, 3485709275, 3485709278, 3485709280, 3485709283, 3485709288, 3485709290, 3485709292, 3485712793, 3485712795, 3485712796, 3485712798, 3485712800, 4500196553, 4500196554, 3485712804, 3485712808, 3485712811, 3485712815, 3485712821, 3485712823, 3485712828]"
341374440,"[3479514861, 3485709271, 3485709277, 5519934495, 3485709286, 3485709289, 5519934496, 5519934497, 3485712794, 5519934498, 3485712797, 3485712810, 5519934499, 3485712825, 3485712832]"
341487075,"[3486696591, 3486696592, 3486696593, 3486696594, 3486696595, 3486696596, 3486696597, 3486696598, 3486696599, 3486696600, 3486696601, 3486696602, 3486696603, 3486696604, 3486696605, 3486696606, 3486696607, 3486696608, 3486696609, 3486696610, 3486696611, 3486696612, 3486696613, 3486696614, 3486696615, 3486696616, 3486696617, 3486696618, 3486696619, 3486696620, 3486696621, 3486696622, 3486696623, 3486696624, 3486696625, 3486696626, 3486696627, 3486696628, 3486696629, 3486696630, 3486696631, 3486696632, 3486696633, 3486696634, 3486696635, 3486696636, 3486696637, 3486696638, 3486696639, 3486696640, 3486696641, 3486696642, 3486696643, 3486696644, 3486696645, 3486696646, 3486696647, 3486696648, 3486696649, 3486696650, 3486696651, 3486696652, 3486696653]"
341487076,"[3479515300, 3486696655, 3486696656, 3486696657, 3486696658, 3486696659, 3486696660, 3486696661, 3486696662]"
341741889,"[3488482383, 3488482384, 3488482385, 3488482386, 3488482387, 3488482388]"
341741943,"[3488482385, 3488490937, 3488490938, 3488490939, 3488490940]"
341741971,"[3488493405, 3488493406, 3488493407, 3488493408, 3488493409, 3488493410, 3488493411, 3488493412, 3488493413, 3488493464]"
341742109,"[3488493464, 3488493465, 3488493466, 3488493467, 3488493468, 3488493469, 3488493470, 3488493471, 3488493472, 3488493473, 3488493474, 3488493475, 3488493476, 3488493477]"
341742129,"[3488493477, 3488494431, 3488494432, 3488494433, 3488494434, 3488494435, 3488494436, 3488494437, 3488494438]"
341742397,"[3488494387, 3488494388, 3488494389, 3488494390, 3488494391, 3488494392, 3488496393, 3488496394, 3488496395, 3488496396, 3488496397, 3488496398, 3488496399, 3488496400, 3488496401, 3488496402, 3488496403, 3488496404, 3488496405, 3488496406]"
341742406,"[3488496406, 3488494588, 3488494589, 3488494590, 3488494591]"
341742776,"[3488496231, 3488496232, 3488496233, 3488496234, 3488496235, 3488496236, 3488496237]"
341742894,"[3488496935, 3488496937, 3488496938, 3488496939, 3488496940, 3488496941, 3488496942, 3488496943, 3488496944, 3488496945, 3488496946, 3488496947, 3488496948, 3488496949]"
341812103,"[3484823245, 3488961442, 3488961446]"
341937047,"[1821395164, 3489970949, 3489970950, 3489970951, 1821395395]"
342070410,"[3491108101, 3491108100, 3491108103, 3491108094, 3491108063, 3491108062, 3491108060, 3491108057, 3491108056, 3491108052, 3491108047, 3491108050, 3491108044, 3491108040, 3491108036, 3491108037, 3491108031, 3491108027, 3491108021, 3491108010, 3479490559]"
342070623,"[3491107673, 3491107674, 3491107671, 3491107670, 3491107676, 3491107677, 3491107688, 3491107900, 3491107919, 3491107952, 3491107961, 3491107970]"
342070624,"[3489062896, 3491108144, 3491108133, 3491108114, 3491108109, 3491108095, 3491108071, 3491108093, 3491108101, 3491108108, 3491108118, 3491108155, 3491108203]"
342070628,"[3484823194, 3491107902, 3491107909, 3491107913, 3491107910, 3491107941, 3491107937, 3491107951, 3491107946, 3491107953]"
342070630,"[3491108306, 3491108310, 3491108312, 3491108316, 3491108336, 3491108350, 3491108353, 3491108354, 3491108363, 3491108371, 3491108381, 3491108387, 3491108615, 3491108621, 3491108622, 3491108631]"
342070632,"[3491107931, 3491107930]"
342070633,"[3172968332, 3491108375, 3491108374, 3491108379, 3491108386, 3491108388, 3491108390, 3491108598, 3491108625, 3491108635, 3491108638, 3491108640, 3491108647, 3491108648, 3491108649, 3491108651, 3491108652, 3491108653, 3491108661, 3491108662]"
342070634,"[3172968562, 3491107657, 3491107654, 3491107658, 3491107659, 3491107660, 3491107668, 3491107673, 3491107893, 3491107921, 3491107926, 3491107931, 3491107940, 3491107965, 3491107969, 3491107973, 3491107987, 3491107997, 3491108004, 3491108006, 3491108016, 3491108034, 3491108054, 3491108061]"
342070635,"[3479499574, 3491107966, 3491107971, 3491107977, 3491107982, 3491107992, 3491108003, 3491108005, 3491108008, 3491108007, 3491108009, 3491108013, 3491108011, 3491108014, 3491108017, 3491108018, 3491108012, 3491108015, 3491108019, 3491108020, 3491108024, 3491108023, 3491108028, 3491108039, 3491108043, 3491108055, 3491108064]"
342070639,"[3491107643, 3491107644, 3491107646, 3491107645, 3491107647]"
342070643,"[3491107973, 3491107967, 3491107964, 3491107963, 3491107968, 3491107972]"
342070646,"[3172968573, 3489062580, 3489062579, 3172968612, 3172968286, 3172968293, 3489162179, 3172968313, 3172968319, 3489162166, 3172968648, 3489162187, 3172968781, 3172969061, 3172968818, 3491267366, 3172969071, 3172968298, 3172968303, 3489162142, 3172968311, 3172968317, 3172968322, 3172968329, 3172968337, 3489162141, 3172968340, 3489162153, 3172968815, 3172968631, 3172968563, 3489162180, 3172968775, 3172968652, 3172968616, 3172968783, 3489162188, 3489162191, 3172968655, 3172968771, 3172968765, 3172968801, 3172968072, 3172968085, 3172968099, 3489162185, 3489162182, 3172968143, 3489162161, 3172968150, 3489162160, 3172968262, 3489162169, 3172968087, 3172968064]"
342070648,"[3491108071, 3491108070, 3491108072, 3491108081, 3491108096, 3491108102, 3491108104, 3491108107, 3491108109]"
342084893,"[3491211920, 3491211918, 3491211904, 3491211887, 3491211883, 3491211882, 3491211885, 3491211884, 3491211880, 3484029948]"
342084894,"[3484029925, 3491211795, 3491211798, 3491211804, 3491211810, 3491211822, 3491211834, 3491211846, 3491211849, 3491211850, 3484029939]"
342084895,"[3491211991, 3491211996, 3491212004, 3491212005, 3491212014, 3491212019, 3491212023, 3491212025, 3491212024, 3491212033, 3491212035]"
342084896,"[3491211782, 3491211781, 3491211787, 3491211788, 3491211790, 3491211794, 3491211801, 3491211805, 3491211807, 3491211802, 3491211803, 3491211808]"
342084898,"[3479490529, 3491211848, 3491211855, 3491211859, 3491211865, 3491211869, 3491211873, 3491211876, 3491211889, 3491211897, 3491211888, 3491211878, 3491211874, 3479499567]"
342084899,"[3491212093, 3491212091, 3491212090, 3491212086, 3491212082, 3491212081, 3491212077, 3491212073, 3491212070, 3491212072, 3491212069, 3491212057, 3491212054, 3491212048, 3479499521]"
